group,variable1,variable2,pearson_correlation,spearman_correlation,pearson_p_value,spearman_p_value,pearson_significant,spearman_significant,n_observations
CHOR1,HCT,LEU,0.0025225925909785354,0.03559951535325494,0.9908857728197884,0.8718894791330668,FALSE,FALSE,23
CHOR1,MCHC,MON,-0.04644965276858378,-0.004463185497978342,0.8333125451968597,0.9838750258312265,FALSE,FALSE,23
CHOR1,MCHC,LEU,0.0049085749281893186,0.08669836494840456,0.9822661196129583,0.694064221141553,FALSE,FALSE,23
CHOR1,MON,LEU,0.4753657153310983,0.306627251874938,0.021879771734141667,0.1547143543588414,TRUE,FALSE,23
CHOR2,wiek,hsCRP,-0.003977688766019255,-0.11201319554275907,0.9849446235072805,0.5939814966045294,FALSE,FALSE,25
CHOR2,wiek,ERY,0.055358038203245884,0.1396839976593625,0.7926886322063365,0.5054493027829898,FALSE,FALSE,25
CHOR2,wiek,PLT,-0.1350890335428981,-0.2038296907393924,0.519687898029795,0.3284291734142498,FALSE,FALSE,25
CHOR2,wiek,HGB,0.21321196386250424,0.25344765848139156,0.30616168194287385,0.22154052995713844,FALSE,FALSE,25
CHOR2,wiek,HCT,0.005287626454181829,0.05918778032488891,0.9799874172496975,0.7786841639509037,FALSE,FALSE,25
CHOR2,wiek,MCHC,-0.09129535137091993,0.07464535231957872,0.66427740408209,0.7228785890911147,FALSE,FALSE,25
CHOR2,wiek,MON,0.14519125995626433,-0.06111022986114611,0.48864019117123536,0.7716791239216003,FALSE,FALSE,25
CHOR2,wiek,LEU,-0.2960247921617113,-0.2916766794593629,0.15077987372364665,0.15715647328110918,FALSE,FALSE,25
CHOR2,hsCRP,ERY,-0.046541073016258996,0.09969207820874246,0.825161684030198,0.6354106390341939,FALSE,FALSE,25
CHOR2,hsCRP,PLT,0.3025248812097267,0.24503971422003962,0.1415937712917294,0.23777046345756192,FALSE,FALSE,25
CHOR2,hsCRP,HGB,-0.20868230189048573,-0.0398535968523661,0.31679278242953585,0.8499823580856649,FALSE,FALSE,25
CHOR2,hsCRP,HCT,-0.08602219608007697,-0.010789993550662447,0.6826495853151882,0.959174725738212,FALSE,FALSE,25
CHOR2,hsCRP,MCHC,-0.2723450982750848,-0.07649318624455727,0.18781502787265023,0.7162924542283993,FALSE,FALSE,25
CHOR2,hsCRP,MON,0.14218760842471034,0.013099607363964384,0.49777282703677384,0.9504455840022368,FALSE,FALSE,25
CHOR2,hsCRP,LEU,0.1263860849231882,0.11699057364933371,0.5471741410100266,0.5775794862680788,FALSE,FALSE,25
CHOR2,ERY,PLT,0.12381338218860796,0.07708617955216383,0.5554258363989388,0.7141830215917226,FALSE,FALSE,25
CHOR2,ERY,HGB,0.8791560142172282,0.8949222240521509,7.302610584730151e-9,1.5849763877209978e-9,TRUE,TRUE,25
CHOR2,ERY,HCT,0.7132756881679609,0.7513497700159575,6.272785109868148e-5,1.4997279047595988e-5,TRUE,TRUE,25
CHOR2,ERY,MCHC,0.04773322488647536,0.0207815277840825,0.8207533697758737,0.9214572330590207,FALSE,FALSE,25
CHOR2,ERY,MON,-0.3827262177231212,-0.3328195802164673,0.058988505653551224,0.1040277876837095,FALSE,FALSE,25
CHOR2,ERY,LEU,0.3127462119371107,0.2685274351963035,0.1279711371466687,0.19432463399354025,FALSE,FALSE,25
CHOR2,PLT,HGB,0.007228239125183944,-0.02867131812237752,0.9726449212380042,0.8917858312293657,FALSE,FALSE,25
CHOR2,PLT,HCT,0.14355381669280728,0.04784873714372578,0.49360837901074106,0.8203265093675555,FALSE,FALSE,25
CHOR2,PLT,MCHC,-0.3380966791411532,-0.4899059470863725,0.09832483879575579,0.012922304742782512,FALSE,TRUE,25
CHOR2,PLT,MON,-0.005620435238140623,-0.033179012345679014,0.9787280744574847,0.8748943191467954,FALSE,FALSE,25
CHOR2,PLT,LEU,0.21480174567468424,0.22003868268597204,0.3024834320585186,0.2905617508170812,FALSE,FALSE,25
CHOR2,HGB,HCT,0.7558934970132144,0.7634242621363297,1.2432285926591723e-5,9.029091199327393e-6,TRUE,TRUE,25
CHOR2,HGB,MCHC,0.3317238934957206,0.23174684298602116,0.10524199820515914,0.2649913456417252,FALSE,FALSE,25
CHOR2,HGB,MON,-0.38920003225006455,-0.3779577138970172,0.05448321313977034,0.06248752643246505,FALSE,FALSE,25
CHOR2,HGB,LEU,0.3005730523032985,0.3049580363122432,0.1443089039136224,0.13826059641448776,FALSE,FALSE,25
CHOR2,HCT,MCHC,0.12191929262653223,0.10363898996894075,0.5615369411828451,0.622015116607797,FALSE,FALSE,25
CHOR2,HCT,MON,-0.22578314872999625,-0.16766351845926492,0.277828961100481,0.4230773981854179,FALSE,FALSE,25
CHOR2,HCT,LEU,0.3111166469542775,0.2738487749055276,0.13007664917147851,0.185292775593833,FALSE,FALSE,25
CHOR2,MCHC,MON,-0.335540698836434,-0.2958876394704202,0.10105725372721724,0.15097815613262755,FALSE,FALSE,25
CHOR2,MCHC,LEU,0.16776976810665423,0.14660779014556843,0.42277933831427217,0.48436266152599183,FALSE,FALSE,25
CHOR2,MON,LEU,-0.2322273454074563,-0.10173417202994153,0.26397389216188416,0.6284656834331241,FALSE,FALSE,25
KONTROLA,wiek,hsCRP,-0.18843762261678343,-0.2339607751829369,0.37788037445750133,0.271182999404882,FALSE,FALSE,24
KONTROLA,wiek,ERY,0.5288668219553337,0.5696191328260548,0.007881244964009698,0.003666366959605053,TRUE,TRUE,24
KONTROLA,wiek,PLT,0.3034372424795953,0.24214121556464202,0.14946626218154815,0.25429255407721335,FALSE,FALSE,24
KONTROLA,wiek,HGB,0.22761969299364004,0.20548887531741328,0.28475581097881825,0.33540798924887505,FALSE,FALSE,24
KONTROLA,wiek,HCT,0.3939040725264576,0.36580235582141846,0.05684084418444936,0.07876401518531145,FALSE,FALSE,24
KONTROLA,wiek,MCHC,-0.44065688895973754,-0.43763713867300735,0.031146098540286243,0.03245752648462977,TRUE,TRUE,24
KONTROLA,wiek,MON,-0.07862300722243794,-0.09239885931888546,0.7149795349313336,0.6676204187686311,FALSE,FALSE,24
KONTROLA,wiek,LEU,-0.5767592705811654,-0.5684969402535249,0.003173984504665748,0.003749326893204673,TRUE,TRUE,24
KONTROLA,hsCRP,ERY,0.28905523146618395,0.24689773938683407,0.17070750667488002,0.24479178924540182,FALSE,FALSE,24
KONTROLA,hsCRP,PLT,0.11451258942822265,0.07829491823751139,0.5941686201499667,0.7161208159243546,FALSE,FALSE,24
KONTROLA,hsCRP,HGB,0.24735909372205359,0.18369005937168265,0.24388276941849116,0.3902304547055855,FALSE,FALSE,24
KONTROLA,hsCRP,HCT,0.3514996176406421,0.2662606614405913,0.09212385537348883,0.2085279702697852,FALSE,FALSE,24
KONTROLA,hsCRP,MCHC,-0.26896140702501153,-0.23016643679903143,0.20377482872737554,0.2792541958808527,FALSE,FALSE,24
KONTROLA,hsCRP,MON,-0.1066992593370868,-0.04395127861260783,0.6197296827874065,0.8384159138780876,FALSE,FALSE,24
KONTROLA,hsCRP,LEU,0.19699952765153145,0.4013060047208689,0.35618289218441335,0.05193993150476919,FALSE,FALSE,24
KONTROLA,ERY,PLT,0.5219643597812855,0.4173385180343243,0.008891376877678544,0.04245309017852558,TRUE,TRUE,24
KONTROLA,ERY,HGB,0.5382447925159486,0.4879591269591473,0.006663395183248303,0.015563967402736927,TRUE,TRUE,24
KONTROLA,ERY,HCT,0.7558689435183125,0.7058826209796821,1.9404152618875192e-5,1.1627812055501035e-4,TRUE,TRUE,24
KONTROLA,ERY,MCHC,-0.5369071905620647,-0.542676594800561,0.006826820829157019,0.006145077888876436,TRUE,TRUE,24
KONTROLA,ERY,MON,-0.0972320808769621,-0.18086732999772745,0.651281324299199,0.39768013789733814,FALSE,FALSE,24
KONTROLA,ERY,LEU,-0.27638001375894433,-0.2079337599482226,0.19109769313012,0.32956248067055205,FALSE,FALSE,24
KONTROLA,PLT,HGB,0.2866020986272744,0.2833120474721442,0.17453017179048047,0.1797496903435118,FALSE,FALSE,24
KONTROLA,PLT,HCT,0.4430543673499906,0.41262242544049343,0.03013530000296752,0.045089634267192744,TRUE,TRUE,24
KONTROLA,PLT,MCHC,-0.36366317929576786,-0.3412568078153572,0.08066294389778417,0.10268316977381771,FALSE,FALSE,24
KONTROLA,PLT,MON,0.24049997514123644,0.11406183057398182,0.2576253813946534,0.595631008636964,FALSE,FALSE,24
KONTROLA,PLT,LEU,0.1459622715763964,0.08774223513294613,0.4961548286194305,0.6835024357564343,FALSE,FALSE,24
KONTROLA,HGB,HCT,0.9390976672937386,0.9253956933381201,1.1098416753851619e-11,9.696212159488617e-11,TRUE,TRUE,24
KONTROLA,HGB,MCHC,0.28168882203787193,0.27143317147378754,0.18236419238730253,0.19948941706199447,FALSE,FALSE,24
KONTROLA,HGB,MON,-0.27179815853397704,-0.295473211882415,0.19886185007873286,0.16098334576344897,FALSE,FALSE,24
KONTROLA,HGB,LEU,-0.31623646859033194,-0.3331912547401639,0.13220187743656286,0.11160792121775275,FALSE,FALSE,24
KONTROLA,HCT,MCHC,-0.06179692327325871,-0.06957483414736058,0.7742237540199701,0.7466635860519548,FALSE,FALSE,24
KONTROLA,HCT,MON,-0.22078221722372457,-0.2203352980592183,0.2998612181184056,0.30086552776486675,FALSE,FALSE,24
KONTROLA,HCT,LEU,-0.3455079842685886,-0.3312282544127143,0.09819717008226003,0.1138635469448887,FALSE,FALSE,24
KONTROLA,MCHC,MON,-0.11308359579221111,0.006108211745256125,0.5988099149889973,0.9774015836221344,FALSE,FALSE,24
KONTROLA,MCHC,LEU,0.0836617468877344,0.030111315943807875,0.6975276299927939,0.8889198831108958,FALSE,FALSE,24
KONTROLA,MON,LEU,0.46265762611184014,0.35090395082041076,0.022816746495834445,0.0927147637356947,TRUE,FALSE,24
